alcaldia,sexo,rango_edad,poblacion
MILPA ALTA,Mujer,q) 80 a 84 años,628
MILPA ALTA,Mujer,r) 85 años y más,605
ALVARO OBREGON,Hombre,a) 0 a 4 años,19409
ALVARO OBREGON,Hombre,b) 5 a 9 años,23613
ALVARO OBREGON,Hombre,c) 10 a 14 años,25731
ALVARO OBREGON,Hombre,d) 15 a 19 años,27601
ALVARO OBREGON,Hombre,e) 20 a 24 años,29868
ALVARO OBREGON,Hombre,f) 25 a 29 años,29549
ALVARO OBREGON,Hombre,g) 30 a 34 años,28598
ALVARO OBREGON,Hombre,h) 35 a 39 años,27331
ALVARO OBREGON,Hombre,i) 40 a 44 años,25942
ALVARO OBREGON,Hombre,j) 45 a 49 años,26046
ALVARO OBREGON,Hombre,k) 50 a 54 años,24129
ALVARO OBREGON,Hombre,l) 55 a 59 años,20062
ALVARO OBREGON,Hombre,m) 60 a 64 años,17223
ALVARO OBREGON,Hombre,n) 65 a 69 años,13187
ALVARO OBREGON,Hombre,o) 70 a 74 años,9514
ALVARO OBREGON,Hombre,p) 75 a 79 años,5966
ALVARO OBREGON,Hombre,q) 80 a 84 años,3808
ALVARO OBREGON,Hombre,r) 85 años y más,3019
ALVARO OBREGON,Mujer,a) 0 a 4 años,19075
ALVARO OBREGON,Mujer,b) 5 a 9 años,23087
ALVARO OBREGON,Mujer,c) 10 a 14 años,25137
ALVARO OBREGON,Mujer,d) 15 a 19 años,27247
ALVARO OBREGON,Mujer,e) 20 a 24 años,30073
ALVARO OBREGON,Mujer,f) 25 a 29 años,31159
ALVARO OBREGON,Mujer,g) 30 a 34 años,30888
ALVARO OBREGON,Mujer,h) 35 a 39 años,29841
ALVARO OBREGON,Mujer,i) 40 a 44 años,29202
ALVARO OBREGON,Mujer,j) 45 a 49 años,29927
ALVARO OBREGON,Mujer,k) 50 a 54 años,28592
ALVARO OBREGON,Mujer,l) 55 a 59 años,23888
ALVARO OBREGON,Mujer,m) 60 a 64 años,21283
ALVARO OBREGON,Mujer,n) 65 a 69 años,16316
ALVARO OBREGON,Mujer,o) 70 a 74 años,12283
ALVARO OBREGON,Mujer,p) 75 a 79 años,8216
ALVARO OBREGON,Mujer,q) 80 a 84 años,5849
ALVARO OBREGON,Mujer,r) 85 años y más,5655
TLAHUAC,Hombre,a) 0 a 4 años,12010
TLAHUAC,Hombre,b) 5 a 9 años,14845
TLAHUAC,Hombre,c) 10 a 14 años,15892
TLAHUAC,Hombre,d) 15 a 19 años,16651
TLAHUAC,Hombre,e) 20 a 24 años,16963
TLAHUAC,Hombre,f) 25 a 29 años,16493
TLAHUAC,Hombre,g) 30 a 34 años,14712
TLAHUAC,Hombre,h) 35 a 39 años,13710
TLAHUAC,Hombre,i) 40 a 44 años,13091
TLAHUAC,Hombre,j) 45 a 49 años,13097
TLAHUAC,Hombre,k) 50 a 54 años,12163
TLAHUAC,Hombre,l) 55 a 59 años,9630
TLAHUAC,Hombre,m) 60 a 64 años,7665
TLAHUAC,Hombre,n) 65 a 69 años,5390
TLAHUAC,Hombre,o) 70 a 74 años,3580
TLAHUAC,Hombre,p) 75 a 79 años,2044
TLAHUAC,Hombre,q) 80 a 84 años,1251
TLAHUAC,Hombre,r) 85 años y más,931
TLAHUAC,Mujer,a) 0 a 4 años,11705
TLAHUAC,Mujer,b) 5 a 9 años,14252
TLAHUAC,Mujer,c) 10 a 14 años,15347
TLAHUAC,Mujer,d) 15 a 19 años,15738
TLAHUAC,Mujer,e) 20 a 24 años,16610
TLAHUAC,Mujer,f) 25 a 29 años,16937
TLAHUAC,Mujer,g) 30 a 34 años,15855
TLAHUAC,Mujer,h) 35 a 39 años,15095
TLAHUAC,Mujer,i) 40 a 44 años,14731
TLAHUAC,Mujer,j) 45 a 49 años,15203
TLAHUAC,Mujer,k) 50 a 54 años,14075
TLAHUAC,Mujer,l) 55 a 59 años,11167
TLAHUAC,Mujer,m) 60 a 64 años,8928
TLAHUAC,Mujer,n) 65 a 69 años,6121
TLAHUAC,Mujer,o) 70 a 74 años,4344
TLAHUAC,Mujer,p) 75 a 79 años,2583
TLAHUAC,Mujer,q) 80 a 84 años,1766
TLAHUAC,Mujer,r) 85 años y más,1593
TLALPAN,Hombre,a) 0 a 4 años,17643
TLALPAN,Hombre,b) 5 a 9 años,22938
TLALPAN,Hombre,c) 10 a 14 años,24951
TLALPAN,Hombre,d) 15 a 19 años,27036
TLALPAN,Hombre,e) 20 a 24 años,29172
TLALPAN,Hombre,f) 25 a 29 años,27809
TLALPAN,Hombre,g) 30 a 34 años,26296
TLALPAN,Hombre,h) 35 a 39 años,25098
TLALPAN,Hombre,i) 40 a 44 años,24075
TLALPAN,Hombre,j) 45 a 49 años,23780
TLALPAN,Hombre,k) 50 a 54 años,21103
TLALPAN,Hombre,l) 55 a 59 años,17380
TLALPAN,Hombre,m) 60 a 64 años,15529
TLALPAN,Hombre,n) 65 a 69 años,12005
TLALPAN,Hombre,o) 70 a 74 años,8630
TLALPAN,Hombre,p) 75 a 79 años,5532
TLALPAN,Hombre,q) 80 a 84 años,3249
TLALPAN,Hombre,r) 85 años y más,2388
TLALPAN,Mujer,a) 0 a 4 años,17214
TLALPAN,Mujer,b) 5 a 9 años,22314
TLALPAN,Mujer,c) 10 a 14 años,24092
TLALPAN,Mujer,d) 15 a 19 años,25919
TLALPAN,Mujer,e) 20 a 24 años,28401
TLALPAN,Mujer,f) 25 a 29 años,28601
TLALPAN,Mujer,g) 30 a 34 años,28154
TLALPAN,Mujer,h) 35 a 39 años,27732
TLALPAN,Mujer,i) 40 a 44 años,27131
TLALPAN,Mujer,j) 45 a 49 años,27295
TLALPAN,Mujer,k) 50 a 54 años,25187
TLALPAN,Mujer,l) 55 a 59 años,21182
TLALPAN,Mujer,m) 60 a 64 años,19309
TLALPAN,Mujer,n) 65 a 69 años,14965
TLALPAN,Mujer,o) 70 a 74 años,11129
TLALPAN,Mujer,p) 75 a 79 años,7038
TLALPAN,Mujer,q) 80 a 84 años,4809
TLALPAN,Mujer,r) 85 años y más,4311
XOCHIMILCO,Hombre,a) 0 a 4 años,12520
XOCHIMILCO,Hombre,b) 5 a 9 años,15722
XOCHIMILCO,Hombre,c) 10 a 14 años,17025
XOCHIMILCO,Hombre,d) 15 a 19 años,17733
